Track Number,Popularity,Danceability
6,50,0.614
1,64,0.601
10,0,0.45
2,52,0.556
5,80,0.802
5,80,0.802
1,73,0.524
4,72,0.806
6,64,0.335
3,29,0.528
9,53,0.447
7,25,0.504
14,56,0.562
5,35,0.536
4,65,0.264
2,0,0.309
3,66,0.808
1,65,0.335
7,52,0.334
1,36,0.371
14,0,0.474
5,49,0.628
8,0,0.411
7,0,0.692
1,59,0.405
5,0,0.459
1,85,0.491
1,85,0.491
2,76,0.257
1,57,0.71
11,69,0.423
1,61,0.629
1,73,0.259
7,83,0.552
5,2,0.74
1,65,0.488
3,58,0.362
6,19,0.491
7,41,0.597
1,55,0.495
1,66,0.458
6,58,0.703
1,98,0.511
2,49,0.602
1,95,0.671
1,69,0.744
1,85,0.746
3,83,0.793
3,78,0.696
1,66,0.697
1,67,0.678
1,94,0.602
1,86,0.767
14,92,0.712
1,72,0.511
1,87,0.777
1,90,0.707
1,54,0.75
1,92,0.636
1,76,0.751
1,61,0.698
2,90,0.492
2,74,0.769
1,67,0.713
4,60,0.57
2,97,0.783
1,8,0.562
1,71,0.562
1,67,0.61
1,91,0.517
1,84,0.636
1,68,0.511
11,80,0.698
1,96,0.707
1,87,0.534
1,64,0.538
10,95,0.715
1,88,0.954
1,76,0.668
9,33,0.457
1,86,0.696
3,95,0.637
1,78,0.628
2,88,0.838
1,54,0.527
1,81,0.574
1,84,0.637
1,90,0.714
1,63,0.669
1,56,0.81
1,81,0.4
1,82,0.667
1,95,0.561
1,94,0.801
18,20,0.717
1,53,0.952
1,80,0.95
1,82,0.736
1,87,0.587
4,80,0.721
5,5,0.565
4,79,0.721
1,84,0.728
1,88,0.772
1,75,0.687
1,79,0.623
1,57,0.764
7,61,0.551
11,73,0.53
8,75,0.602
1,95,0.704
1,40,0.73
1,45,0.727
4,84,0.902
1,83,0.578
1,10,0.685
1,93,0.551
1,6,0.835
4,80,0.756
1,67,0.552
1,86,0.847
1,93,0.52
1,67,0.37
1,66,0.87
1,91,0.565
1,0,0.785
1,86,0.773
1,82,0.756
1,71,0.878
1,75,0.614
1,82,0.763
1,77,0.742
1,13,0.69
1,3,0.603
1,79,0.56
1,87,0.768
1,64,0.308
1,55,0.38
1,62,0.744
5,76,0.52
1,83,0.728
1,10,0.542
4,55,0.45
1,85,0.604
1,81,0.717
4,85,0.737
1,1,0.788
1,42,0.667
1,84,0.854
1,72,0.734
1,71,0.471
1,88,0.796
1,84,0.695
1,70,0.748
1,5,0.524
1,3,0.575
1,69,0.81
1,0,0.5
1,2,0.708
1,89,0.671
1,76,0.815
1,10,0.755
1,8,0.594
1,50,0.638
1,9,0.649
1,4,0.768
1,0,0.495
1,26,0.753
1,75,0.666
1,3,0.655
1,0,0.777
1,47,0.649
5,42,0.601
1,3,0.569
1,0,0.726
1,66,0.916
1,0,0.768
1,1,0.637
1,0,0.731
1,10,0.782
1,26,0.545
1,1,0.781
1,0,0.778
1,0,0.608
1,65,0.587
1,0,0.686
1,32,0.641
10,0,0.793
1,26,0.592
1,0,0.78
1,8,0.575
1,17,0.538
1,27,0.539
1,53,0.562
1,30,0.808
1,34,0.728
1,1,0.555
1,3,0.362
1,12,0.411
1,10,0.527
1,16,0.685
1,3,0.232
8,49,0.838
1,3,0.731
1,34,0.727
1,1,0.647
4,35,0.862
1,0,0.642
1,65,0.783
1,2,0.335
1,0,0.549
1,51,0.635
1,58,0.652
1,59,0.747
1,54,0.654
1,82,0.713
1,2,0.735
1,50,0.705
1,67,0.727
1,44,0.43
1,76,0.733
1,0,0.642
1,0,0.803
1,33,0.64
1,49,0.625
1,44,0.59
1,29,0.705
1,40,0.613
1,67,0.595
1,54,0.633
1,86,0.721
1,2,0.759
1,35,0.544
1,5,0.629
1,29,0.885
1,25,0.556
1,59,0.615
4,3,0.538
3,0,0.688
2,65,0.686
1,75,0.507
1,69,0.578
1,43,0.575
1,0,0.747
1,76,0.682
3,46,0.676
2,47,0.704
1,72,0.692
1,3,0.634
1,0,0.733
1,22,0.741
1,42,0.442
1,5,0.64
1,0,0.53
1,84,0.65
1,47,0.695
1,58,0.781
1,81,0.762
1,0,0.395
1,56,0.555
1,58,0.781
1,2,0.588
1,79,0.661
1,18,0.439
9,57,0.538
1,14,0.447
1,23,0.528
1,54,0.413
1,60,0.74
1,66,0.589
1,21,0.61
1,68,0.616
1,58,0.433
13,60,0.701
11,77,0.604
11,89,0.601
12,58,0.698
10,2,0.668
1,74,0.311
2,2,0.759
3,70,0.689
1,72,0.542
1,73,0.658
1,61,0.306
1,11,0.586
1,60,0.654
1,27,0.626
1,62,0.659
1,0,0.646
1,63,0.723
1,31,0.713
1,81,0.758
1,58,0.663
1,69,0.47
1,0,0.541
1,17,0.656
1,75,0.761
1,57,0.651
1,60,0.661
1,3,0.705
1,62,0.447
1,35,0.574
16,66,0.698
1,52,0.396
2,54,0.764
1,86,0.626
1,76,0.476
13,77,0.722
8,71,0.659
1,58,0.722
1,57,0.779
1,45,0.781
1,0,0.671
1,0,0.578
15,24,0.386
1,63,0.575
1,50,0.864
1,39,0.646
1,60,0.716
1,54,0.648
1,62,0.668
1,1,0.824
1,68,0.629
1,68,0.557
1,75,0.722
1,69,0.749
1,40,0.752
1,62,0.878
1,40,0.562
1,81,0.669
1,83,0.824
5,25,0.667
1,59,0.695
1,55,0.77
1,51,0.837
1,51,0.712
1,22,0.575
1,29,0.585
7,53,0.628
3,52,0.616
1,74,0.686
4,50,0.484
1,56,0.472
1,74,0.641
1,14,0.573
1,64,0.429
18,74,0.594
1,83,0.392
1,72,0.392
1,54,0.965
4,28,0.577
3,67,0.672
11,82,0.731
3,18,0.608
5,26,0.882
1,35,0.617
1,71,0.738
1,4,0.781
3,64,0.749
1,73,0.652
1,3,0.628
1,38,0.125
1,56,0.805
1,76,0.889
1,2,0.725
1,57,0.681
7,21,0.662
1,69,0.476
7,2,0.43
1,80,0.632
2,54,0.822
14,77,0.487
1,68,0.868
1,60,0.712
1,58,0.448
1,0,0.734
1,8,0.719
1,58,0.64
1,2,0.736
1,44,0.626
7,47,0.612
6,36,0.667
2,52,0.376
1,65,0.504
1,52,0.631
